id,im_w,im_h,im_x,im_y,obj_x,obj_y,obj_w,obj_h,berry_size,az,alt,dx,dy
2024-08-16 09:23:58.122848,640,480,320,240,302,219,25.60595703125,29.91534423828125,766.011019140482,66.4765625,73.99999999999993,18,21
2024-08-16 09:23:58.639762,640,480,320,240,366,243,24.86309814453125,31.030975341796875,771.5261854436249,68.3046875,75.54999999999993,-46,-3
2024-08-16 09:23:59.088693,640,480,320,240,358,251,23.301544189453125,29.542221069335938,688.3793697017245,68.9453125,75.89999999999992,-38,-11
2024-08-16 09:23:59.511002,640,480,320,240,355,265,25.8106689453125,29.691452026367188,766.3562387581915,69.140625,74.14999999999992,-35,-25
