id,im_w,im_h,im_x,im_y,obj_x,obj_y,obj_w,obj_h,berry_size,az,alt,dx,dy
2024-08-16 09:30:17.853345,640,480,320,240,331,230,24.932220458984375,23.233139038085938,579.2537444517948,95.2421875,49.19999999999998,-11,10
2024-08-16 09:30:18.187297,640,480,320,240,340,240,25.265045166015625,22.515213012695312,568.8478736882098,95.2109375,51.19999999999998,-20,0
2024-08-16 09:30:18.540671,640,480,320,240,340,261,25.988494873046875,21.944000244140625,570.291537838988,95.1796875,50.04999999999998,-20,-21
2024-08-16 09:30:18.912854,640,480,320,240,340,263,26.364349365234375,22.553665161132812,594.6127077746205,95.1484375,48.59999999999998,-20,-23
2024-08-16 09:30:19.285352,640,480,320,240,339,249,25.896209716796875,21.632858276367188,560.2090346985497,94.96875,49.24999999999998,-19,-9
2024-08-16 09:30:19.647588,640,480,320,240,348,244,25.386688232421875,22.688034057617188,575.974047227297,96.125,50.64999999999998,-28,-4
2024-08-16 09:30:20.020971,640,480,320,240,342,249,25.97979736328125,22.302200317382812,579.4066450009122,96.390625,51.299999999999976,-22,-9
