id,im_w,im_h,im_x,im_y,obj_x,obj_y,obj_w,obj_h,berry_size,az,alt,dx,dy
id,im_w,im_h,im_x,im_y,obj_x,obj_y,obj_w,obj_h,berry_size,az,alt,dx,dy
2024-08-16 09:23:10.403681,640,480,320,240,388,348,23.182037353515625,26.36212158203125,611.1276872325689,78.9921875,61.74999999999997,-68,-108
id,im_w,im_h,im_x,im_y,obj_x,obj_y,obj_w,obj_h,berry_size,az,alt,dx,dy
2024-08-16 09:23:10.830852,640,480,320,240,385,259,28.044403076171875,24.068145751953125,674.9767807638273,83.640625,60.89999999999997,-65,-19
2024-08-16 09:23:11.118477,640,480,320,240,351,250,26.50933837890625,22.961273193359375,608.688160693273,83.2421875,61.39999999999997,-31,-10
2024-08-16 09:23:11.443302,640,480,320,240,345,244,24.6690673828125,23.582366943359375,581.7549991719425,81.953125,62.79999999999997,-25,-4
2024-08-16 09:23:11.760287,640,480,320,240,355,241,24.0748291015625,21.905029296875,527.3598367869854,82.1484375,64.64999999999998,-35,-1
2024-08-16 09:23:12.082364,640,480,320,240,354,256,28.2623291015625,26.886474609375,759.8743937909603,82.1953125,64.24999999999997,-34,-16
2024-08-16 09:23:12.439355,640,480,320,240,354,258,24.989501953125,24.485519409179688,611.8809350989759,82.2421875,63.54999999999997,-34,-18
