id,im_w,im_h,im_x,im_y,obj_x,obj_y,obj_w,obj_h,berry_size,az,alt,dx,dy
id,im_w,im_h,im_x,im_y,obj_x,obj_y,obj_w,obj_h,berry_size,az,alt,dx,dy
2024-08-16 09:27:21.135983,640,480,320,240,380,262,26.053924560546875,21.970748901367188,572.4242344149388,77.328125,71.09999999999997,-60,-22
2024-08-16 09:27:21.390271,640,480,320,240,340,261,24.726715087890625,21.01922607421875,519.7364145051688,77.296875,69.94999999999996,-20,-21
2024-08-16 09:27:21.665395,640,480,320,240,335,241,23.871337890625,20.097442626953125,479.75284368544817,76.5234375,71.79999999999995,-15,-1
2024-08-16 09:27:21.936682,640,480,320,240,341,242,24.095123291015625,20.352798461914062,490.4031882570125,76.640625,73.49999999999996,-21,-2
2024-08-16 09:27:22.198767,640,480,320,240,341,263,24.170989990234375,20.629669189453125,498.639527480118,76.7578125,72.04999999999995,-21,-23
2024-08-16 09:27:22.471332,640,480,320,240,342,264,24.917877197265625,20.893218994140625,520.6146651515737,77.0234375,70.44999999999996,-22,-24
2024-08-16 09:27:22.739739,640,480,320,240,335,253,23.809478759765625,19.806076049804688,471.57234702212736,76.25,70.49999999999996,-15,-13
2024-08-16 09:27:23.005970,640,480,320,240,340,247,26.005950927734375,20.482498168945312,532.666842259001,76.21875,71.44999999999996,-20,-7
2024-08-16 09:27:23.267333,640,480,320,240,341,247,25.26275634765625,19.727203369140625,498.3635321352631,76.3359375,72.39999999999996,-21,-7
2024-08-16 09:27:23.519787,640,480,320,240,339,253,21.9306640625,17.7646484375,389.590537071228,76.15625,72.44999999999996,-19,-13
2024-08-16 09:27:23.774821,640,480,320,240,342,260,23.3394775390625,20.532699584960938,479.2224807795137,76.421875,71.44999999999996,-22,-20
2024-08-16 09:27:24.035277,640,480,320,240,344,255,25.60101318359375,20.8653564453125,534.1742654368281,76.984375,71.19999999999996,-24,-15
2024-08-16 09:27:24.304360,640,480,320,240,344,257,26.1849365234375,22.346588134765625,585.1439918242395,77.546875,70.64999999999996,-24,-17
2024-08-16 09:27:24.570579,640,480,320,240,338,247,25.998809814453125,22.380264282226562,581.8602346708067,77.21875,71.59999999999997,-18,-7
2024-08-16 09:27:24.833776,640,480,320,240,338,248,25.93927001953125,21.56951904296875,559.4975786469877,76.890625,72.39999999999996,-18,-8
