id,im_w,im_h,im_x,im_y,obj_x,obj_y,obj_w,obj_h,berry_size,az,alt,dx,dy
id,im_w,im_h,im_x,im_y,obj_x,obj_y,obj_w,obj_h,berry_size,az,alt,dx,dy
id,im_w,im_h,im_x,im_y,obj_x,obj_y,obj_w,obj_h,berry_size,az,alt,dx,dy
2024-08-16 09:27:51.385891,640,480,320,240,399,204,22.099761962890625,24.90020751953125,550.2886590082198,83.34375,66.24999999999997,-79,36
id,im_w,im_h,im_x,im_y,obj_x,obj_y,obj_w,obj_h,berry_size,az,alt,dx,dy
2024-08-16 09:27:51.868807,640,480,320,240,369,294,27.6678466796875,18.05731201171875,499.6069401875138,87.6171875,60.14999999999997,-49,-54
2024-08-16 09:27:52.122055,640,480,320,240,352,262,25.389892578125,17.708541870117188,449.6179757975042,89.3671875,58.84999999999997,-32,-22
2024-08-16 09:27:52.342259,640,480,320,240,338,253,23.61102294921875,18.614059448242188,439.4969848105684,89.0390625,58.89999999999997,-18,-13
2024-08-16 09:27:52.567085,640,480,320,240,337,254,20.85418701171875,17.845916748046875,372.16208525933325,88.5625,58.79999999999997,-17,-14
2024-08-16 09:27:52.823073,640,480,320,240,337,258,23.124267578125,18.099411010742188,418.5356232188642,88.0859375,58.099999999999966,-17,-18
2024-08-16 09:27:53.107895,640,480,320,240,338,258,22.213623046875,17.586990356445312,390.67077430710196,87.7578125,57.39999999999996,-18,-18
2024-08-16 09:27:53.371999,640,480,320,240,347,250,23.12738037109375,17.08905029296875,395.22496630623937,88.765625,57.89999999999996,-27,-10
2024-08-16 09:27:53.636944,640,480,320,240,346,249,24.05419921875,17.422622680664062,419.0872368738055,89.625,58.54999999999996,-26,-9
2024-08-16 09:27:53.925750,640,480,320,240,344,249,22.80853271484375,17.664825439453125,402.9087489377707,90.1875,59.19999999999996,-24,-9
2024-08-16 09:27:54.235873,640,480,320,240,335,255,23.37213134765625,18.432144165039062,430.7984944442287,89.4140625,58.94999999999996,-15,-15
2024-08-16 09:27:54.675023,640,480,320,240,338,254,23.848480224609375,19.787063598632812,471.89139493508264,89.0859375,58.84999999999996,-18,-14
2024-08-16 09:27:55.109059,640,480,320,240,338,254,21.593017578125,18.677688598632812,403.3076582290232,88.7578125,58.74999999999996,-18,-14
2024-08-16 09:27:55.589710,640,480,320,240,338,256,21.168243408203125,16.132736206054688,341.50168685009703,88.4296875,58.34999999999996,-18,-16
