id,im_w,im_h,im_x,im_y,obj_x,obj_y,obj_w,obj_h,berry_size,az,alt,dx,dy
2024-08-15 08:41:15.932979,640,480,320,240,97,363,26.436660766601562,31.51123046875,833.0517102405429,53.8984375,61.55,223,-123
2024-08-15 08:41:16.385397,640,480,320,240,421,236,25.06390380859375,26.5133056640625,664.5269428119063,65.890625,62.15,-101,4
2024-08-15 08:41:16.738071,640,480,320,240,332,213,25.51678466796875,25.135040283203125,641.3654105272144,64.671875,66.2,-12,27
2024-08-15 08:41:17.026965,640,480,320,240,330,245,24.779022216796875,26.040512084960938,645.2584274900146,63.15625,65.45,-10,-5
2024-08-15 08:41:17.433229,640,480,320,240,331,247,24.022247314453125,25.135086059570312,603.8012535930611,61.7890625,64.4,-11,-7
2024-08-15 08:41:17.862656,640,480,320,240,340,245,24.11572265625,26.331802368164062,635.0104429498315,61.7578125,63.650000000000006,-20,-5
2024-08-15 08:41:18.270502,640,480,320,240,340,239,24.21441650390625,27.088134765625,655.9233775287867,61.7265625,63.800000000000004,-20,1
2024-08-15 08:41:18.651157,640,480,320,240,336,232,24.04034423828125,25.231033325195312,606.5627266252413,61.1015625,65.0,-16,8
2024-08-15 08:41:19.057969,640,480,320,240,327,235,24.269927978515625,25.4036865234375,616.5456423126161,59.140625,65.75,-7,5
2024-08-15 08:41:19.430272,640,480,320,240,334,237,24.061065673828125,25.534530639648438,614.3880186709575,58.21875,66.2,-14,3
2024-08-15 08:41:20.150467,640,480,320,240,370,187,27.120391845703125,24.943038940429688,676.4649898870848,62.640625,74.15,-50,53
2024-08-15 08:41:20.612419,640,480,320,240,342,242,26.57208251953125,25.053878784179688,665.7337344875559,62.90625,73.85000000000001,-22,-2
2024-08-15 08:41:20.980310,640,480,320,240,345,244,26.400848388671875,24.584213256835938,649.0440869485028,63.6171875,73.25000000000001,-25,-4
2024-08-15 08:41:21.392256,640,480,320,240,339,245,26.149139404296875,24.463623046875,639.7026893869042,63.4375,72.50000000000001,-19,-5
2024-08-15 08:41:21.799520,640,480,320,240,333,239,26.329345703125,24.941268920898438,656.6872916929424,62.3671875,72.65000000000002,-13,1
2024-08-15 08:41:22.415403,640,480,320,240,308,216,26.9718017578125,27.68963623046875,746.8393791541457,57.5859375,76.25000000000001,12,24
2024-08-15 08:41:22.730075,640,480,320,240,338,229,25.694366455078125,28.182174682617188,724.1231237961911,57.2578125,77.90000000000002,-18,11
2024-08-15 08:41:23.524516,640,480,320,240,249,278,26.330795288085938,29.988616943359375,789.6241337084211,43.71875,72.20000000000002,71,-38
2024-08-15 08:41:24.044061,640,480,320,240,315,281,24.161712646484375,23.505401611328125,567.930759373121,39.9765625,66.05000000000001,5,-41
2024-08-15 08:41:25.079817,640,480,320,240,574,206,36.55908203125,36.757904052734375,1343.8352295607328,74.6796875,71.15,-254,34
2024-08-15 08:41:25.896203,640,480,320,240,272,174,34.30036926269531,36.70222473144531,1258.8998610510025,64.5546875,81.05000000000001,48,66
2024-08-15 08:41:26.311366,640,480,320,240,358,251,34.332000732421875,33.919921875,1164.5387826561928,67.1953125,79.4,-38,-11
2024-08-15 08:41:26.640447,640,480,320,240,348,252,34.67413330078125,30.9813232421875,1074.2505319342017,68.3515625,77.60000000000001,-28,-12
2024-08-15 08:41:27.012235,640,480,320,240,327,241,34.633392333984375,29.9539794921875,1037.4079237170517,66.390625,77.45,-7,-1
2024-08-15 08:41:27.409091,640,480,320,240,333,241,33.940826416015625,30.3118896484375,1028.810584899038,65.3203125,77.3,-13,-1
2024-08-15 08:41:27.846227,640,480,320,240,347,237,34.372711181640625,28.680084228515625,985.812251851894,66.328125,77.75,-27,3
2024-08-15 08:41:28.260679,640,480,320,240,348,240,34.238555908203125,29.262222290039062,1001.8962338757701,67.484375,77.75,-28,0
2024-08-15 08:41:28.673496,640,480,320,240,341,236,34.794097900390625,30.198638916015625,1050.7343989023939,67.6015625,78.35,-21,4
2024-08-15 08:41:29.064289,640,480,320,240,341,241,34.037811279296875,31.396759033203125,1068.6769587537274,67.71875,78.19999999999999,-21,-1
2024-08-15 08:41:29.477250,640,480,320,240,339,241,33.8983154296875,31.157089233398438,1056.1728387046605,67.5390625,78.04999999999998,-19,-1
2024-08-15 08:41:30.262737,640,480,320,240,290,258,33.29705810546875,34.69221496582031,1155.1486975243315,60.0859375,75.34999999999998,30,-18
2024-08-15 08:41:30.605940,640,480,320,240,330,249,32.8582763671875,35.27748107910156,1159.157222835347,58.5703125,73.99999999999999,-10,-9
2024-08-15 08:41:30.922856,640,480,320,240,366,232,32.126739501953125,34.88829040527344,1120.8470175187103,62.3984375,75.19999999999999,-46,8
2024-08-15 08:41:31.295958,640,480,320,240,349,230,31.6236572265625,33.466217041015625,1058.3241763748229,63.703125,76.69999999999999,-29,10
2024-08-15 08:41:31.694147,640,480,320,240,336,245,33.09893798828125,34.424346923828125,1139.4093241188675,63.078125,75.94999999999999,-16,-5
2024-08-15 08:41:32.096222,640,480,320,240,337,247,34.19976806640625,34.32557678222656,1173.9267646977678,62.6015625,74.89999999999999,-17,-7
2024-08-15 08:41:32.495087,640,480,320,240,345,245,33.48297119140625,33.98793029785156,1138.0168910184875,63.3125,74.14999999999999,-25,-5
2024-08-15 08:41:32.913954,640,480,320,240,339,246,34.23248291015625,34.24053955078125,1172.1386850066483,63.1328125,73.24999999999999,-19,-6
2024-08-15 08:41:33.358664,640,480,320,240,341,242,33.7071533203125,35.828125,1207.6641025543213,63.25,72.94999999999999,-21,-2
