id,im_w,im_h,im_x,im_y,obj_x,obj_y,obj_w,obj_h,berry_size,az,alt,dx,dy
2024-08-16 09:24:59.970524,640,480,320,240,359,308,17.77532958984375,18.388336181640625,326.85873623751104,92.4140625,64.64999999999992,-39,-68
2024-08-16 09:25:00.462638,640,480,320,240,348,261,17.404937744140625,17.663894653320312,307.4389867600985,91.5703125,63.49999999999992,-28,-21
2024-08-16 09:25:00.808146,640,480,320,240,348,258,16.54449462890625,18.175247192382812,300.70027955342084,90.7265625,62.79999999999992,-28,-18
2024-08-16 09:25:01.114434,640,480,320,240,357,242,16.71624755859375,18.553909301757812,310.1517410678789,91.21875,64.49999999999991,-37,-2
2024-08-16 09:25:01.398314,640,480,320,240,355,246,16.820343017578125,18.759750366210938,315.5454360838048,91.4140625,65.59999999999991,-35,-6
